I,J
27,1
1,2
27,3
29,3
3,4
5,5
29,5
6,6
11,6
27,7
37,7
8,8
13,8
29,9
39,9
5,10
10,10
15,10
11,11
37,11
7,12
13,13
37,13
39,13
9,14
15,15
39,15
11,16
16,16
21,16
37,17
47,17
13,18
18,18
23,18
39,19
49,19
15,20
20,20
25,20
21,21
47,21
17,22
23,23
47,23
49,23
19,24
25,25
49,25
1,26
2,26
3,26
4,26
7,26
9,26
12,26
14,26
17,26
19,26
22,26
24,26
30,26
31,26
36,26
40,26
46,26
50,26
26,27
27,27
3,28
4,28
9,28
14,28
19,28
24,28
30,28
33,28
38,28
40,28
48,28
50,28
28,29
29,29
30,30
35,30
31,31
7,32
12,32
17,32
22,32
31,32
33,32
36,32
38,32
46,32
48,32
33,33
9,34
14,34
19,34
24,34
33,34
35,34
38,34
40,34
48,34
50,34
35,35
31,36
36,36
41,36
32,37
37,37
33,38
38,38
43,38
34,39
39,39
35,40
40,40
45,40
41,41
17,42
22,42
41,42
43,42
46,42
48,42
43,43
19,44
24,44
43,44
45,44
48,44
50,44
45,45
41,46
46,46
42,47
47,47
43,48
48,48
44,49
49,49
45,50
50,50
28,51
34,51
44,51
