I,J,V
1,1,1
6,1,1
11,1,1
16,1,1
27,1,1
32,1,1
42,1,1
46,1,1
2,2,1
7,2,1
3,3,1
8,3,1
13,3,1
18,3,1
27,3,1
29,3,1
32,3,1
34,3,1
42,3,1
44,3,1
48,3,1
4,4,1
9,4,1
5,5,1
10,5,1
15,5,1
20,5,1
29,5,1
34,5,1
44,5,1
50,5,1
1,6,1
27,7,1
32,7,1
37,7,1
3,8,1
29,9,1
34,9,1
39,9,1
5,10,1
11,11,1
16,11,1
37,11,1
42,11,1
46,11,1
7,12,1
12,12,1
17,12,1
13,13,1
18,13,1
37,13,1
39,13,1
42,13,1
44,13,1
48,13,1
9,14,1
14,14,1
19,14,1
15,15,1
20,15,1
39,15,1
44,15,1
50,15,1
11,16,1
37,17,1
42,17,1
47,17,1
13,18,1
39,19,1
44,19,1
49,19,1
15,20,1
46,21,1
47,21,1
17,22,1
21,22,1
22,22,1
23,22,1
47,23,1
48,23,1
49,23,1
19,24,1
23,24,1
24,24,1
25,24,1
49,25,1
50,25,1
31,26,1
27,27,1
33,28,1
29,29,1
35,30,1
26,31,1
31,31,1
7,32,1
31,32,1
33,32,1
28,33,1
33,33,1
9,34,1
33,34,1
35,34,1
30,35,1
35,35,1
31,36,1
41,36,1
37,37,1
33,38,1
43,38,1
39,39,1
35,40,1
45,40,1
36,41,1
41,41,1
17,42,1
41,42,1
43,42,1
38,43,1
43,43,1
19,44,1
43,44,1
45,44,1
40,45,1
45,45,1
21,46,1
41,46,1
47,47,1
23,48,1
43,48,1
49,49,1
25,50,1
45,50,1
31,51,1
33,51,1
